"BusinessId","Business","Address1","Misc Address Info","City","County","State","Zip","PhonePrimary","URL","MailAddress","MailCity","MailState","MailZip","Email","Profiles","DateStamp","LastUpdated","fullAddress"
419914,"Goldvein Farmers Market","Gold Dust Pkwy, Monroe Park","","Goldvein","Fauquier","Virginia",22720,"5407525330","","","Goldvein","Virginia",NA,"","Farmers Market","Mar 27 2009 02:06:56:140PM","May 24 2010 08:35:42:000AM","Gold Dust Pkwy, Monroe Park Goldvein Virginia 22720"
419926,"Haymarket Farmers Market","15025 Washington Street","","Haymarket","Prince William","Virginia",20169,"7037544816","","","Haymarket","Virginia",NA,"","Farmers Market","Mar 27 2009 03:52:16:500PM","May 24 2010 08:46:42:000AM","15025 Washington Street Haymarket Virginia 20169"
3624086,"Haymarket Thursday Afternoon Market","16015 John Marshall Hwy","The Farm at Broad Run","Broad Run","Fauquier","Virginia",20137,"5037582093","","","Broad Run","Virginia",NA,"haymarkettam@gmail.com","Farmers Market","Jul 23 2015 09:13:22:890AM","Jul 24 2015 08:18:24:000AM","16015 John Marshall Hwy Broad Run Virginia 20137"
419901,"Herndon Farmers Market","777 Lynn Street","","Herndon","Fairfax","Virginia",20170,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","Herndon","Virginia",NA,"","Farmers Market","Mar 27 2009 12:43:24:463PM","May 21 2010 01:27:16:000PM","777 Lynn Street Herndon Virginia 20170"
3624044,"Le Gateau de Leveque","14703 Corner Post Pl","","Haymarket","Prince William","Virginia",20169,"5714226467","","","Haymarket","Virginia",NA,"yrleveque@hotmail.com","Farmers Market","Jul 15 2015 09:50:50:520AM","Jul 15 2015 09:50:50:520AM","14703 Corner Post Pl Haymarket Virginia 20169"
3624083,"Leesburg Saturday Market","Virginia Village Shopping Center","Catoctin Circle SE","Leesburg","Loudoun","Virginia",20175,"5404548089","http://www.loudounfarmersmarkets.org","","Leesburg","Virginia",NA,"","Farmers Market","Jul 23 2015 08:56:13:970AM","Apr  1 2020 01:10:49:000PM","Virginia Village Shopping Center Leesburg Virginia 20175"
4915547,"Leesburg Saturday Market (Year-round)","Catoctin Circle SE","","Leesburg","Loudoun","Virginia",20175,"540-454-8089","loudounfarmersmarkets.org","","Leesburg","Virginia",NA,"rowens.lvhmc@yahoo.com","Farmers Market","Mar 10 2019 04:33:21:780AM","Mar 10 2019 04:33:21:780AM","Catoctin Circle SE Leesburg Virginia 20175"
3624084,"Leesburg Wednesday Market","Virginia Village Shopping Center","Catoctin Circle SE","Leesburg","Loudoun","Virginia",20175,"5404548089","","","Leesburg","Virginia",NA,"","Farmers Market","Jul 23 2015 09:00:28:900AM","Apr  1 2020 01:10:49:000PM","Virginia Village Shopping Center Leesburg Virginia 20175"
419908,"Lorton Farmers Market","8990 Lorton Station Blvd.","","Lorton","Fairfax","Virginia",22079,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","Lorton","Virginia",NA,"","Farmers Market","Mar 27 2009 01:35:40:583PM","May 24 2010 08:30:29:000AM","8990 Lorton Station Blvd. Lorton Virginia 22079"
4915549,"Loudoun Station Saturday Farmers Market","43800 Central Station Dr","","Ashburn","Loudoun","Virginia",20147,"540-454-8089","loudounfarmersmarkets.org","","Ashburn","Virginia",NA,"rowens.LVHMC@yahoo.com","Farmers Market","Mar 10 2019 04:33:24:490AM","Mar 10 2019 04:33:24:490AM","43800 Central Station Dr Ashburn Virginia 20147"
419919,"Lovettsville Farmers Market","16 S. Berlin Pike","","Lovettsville","Loudoun","Virginia",20180,"","www.loudounfarmersmarkets.org/Lovettsville.php","","Lovettsville","Virginia",NA,"","Farmers Market","Mar 27 2009 02:44:45:090PM","May 24 2010 08:40:16:000AM","16 S. Berlin Pike Lovettsville Virginia 20180"
419903,"McLean Farmers Market","1659 Chain Bridge Road","","McLean","Fairfax","Virginia",22101,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","McLean","Virginia",NA,"","Farmers Market","Mar 27 2009 12:50:21:630PM","May 21 2010 01:53:13:000PM","1659 Chain Bridge Road McLean Virginia 22101"
4915546,"Middleburg Community Farmers Market","105 West Federal Street","","Middleburg","Loudoun","Virginia",20117,"540-687-5152","www.middleburgva.gov/mc-farmers-market-1.html","","Middleburg","Virginia",NA,"tstaples@middleburgva.gov","Farmers Market","Mar 10 2019 04:33:20:237AM","Mar 10 2019 04:33:20:237AM","105 West Federal Street Middleburg Virginia 20117"
419920,"Middleburg Farmers Market","200-408 Stonewall Avenue","","Middleburg","Loudoun","Virginia",20117,"","www.loudounfarmersmarkets.org/Middleburg.php","","Middleburg","Virginia",NA,"","Farmers Market","Mar 27 2009 02:48:10:400PM","May 24 2010 08:41:12:000AM","200-408 Stonewall Avenue Middleburg Virginia 20117"
419904,"Mount Vernon Farmers Market","2501 Sherwood Hall Lane","","Mount Vernon","Fairfax","Virginia",22306,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","Mount Vernon","Virginia",NA,"","Farmers Market","Mar 27 2009 01:06:50:307PM","May 21 2010 01:54:29:000PM","2501 Sherwood Hall Lane Mount Vernon Virginia 22306"
3624045,"Oak Marr Farmers' Market","3200 Jermantown Rd","","Oakton","Fairfax","Virginia",22124,"7032816501","www.fairfaxcounty.gov/parks/farmersmarkets/oak-marr","","Oakton","Virginia",NA,"Julia.Deupree@fairfaxcounty.gov","Farmers Market","Jul 15 2015 12:50:32:600PM","Oct 25 2019 08:40:08:000AM","3200 Jermantown Rd Oakton Virginia 22124"
419921,"Purcellville Farmers Market","717 East Main Street","","Purcellville","Loudoun","Virginia",20132,"5407518550","www.loudounfarmersmarkets.org/Purcellville.php","","Purcellville","Virginia",NA,"tomatoes@purcellvillefarmersmarket.com","Farmers Market","Mar 27 2009 02:51:52:550PM","Jul 16 2019 12:10:47:000PM","717 East Main Street Purcellville Virginia 20132"
419911,"Remington Farmers' Market","Main Street","","Remington","Fauquier","Virginia",22734,"5404393532","","","Remington","Virginia",NA,"","Farmers Market","Mar 27 2009 01:49:51:440PM","May 24 2010 08:32:55:000AM","Main Street Remington Virginia 22734"
419905,"Reston Farmers Market","1609 Washington Plaza, Lake Anne Plaza","","Reston","Fairfax","Virginia",20190,"7033189628","www.restonfarmersmarket.com","","Reston","Virginia",NA,"","Farmers Market","Mar 27 2009 01:16:06:637PM","Jun 10 2010 09:49:21:000AM","1609 Washington Plaza, Lake Anne Plaza Reston Virginia 20190"
419907,"Vienna Farmers Market","131 Church Street NE","","Vienna","Fairfax","Virginia",22180,"7032811255","viennafarmersmarket.com/","","Vienna","Virginia",NA,"","Farmers Market","Mar 27 2009 01:29:12:723PM","May 24 2010 08:29:34:000AM","131 Church Street NE Vienna Virginia 22180"
419906,"Vienna/Oakton Farmers Market","3200 Jermantown Road","","Vienna","Fairfax","Virginia",22124,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","Vienna","Virginia",NA,"","Farmers Market","Mar 27 2009 01:24:13:783PM","May 21 2010 01:57:09:000PM","3200 Jermantown Road Vienna Virginia 22124"
419897,"Wakefield Farmers Market","8100 Braddock Road","","Annandale","Fairfax","Virginia",22033,"7036420128","www.fairfaxcounty.gov/parks/farm-mkt.htm","","Annandale","Virginia",NA,"","Farmers Market","Mar 27 2009 12:27:04:547PM","May 21 2010 12:29:21:000PM","8100 Braddock Road Annandale Virginia 22033"
3623984,"Warrenton Farmers Market (Wednesday)","500 Hospital Drive","","Warrenton","Fauquier","Virginia",20186,"5403476574","http://www.warrentonva.gov/visitors/local_attractions/index.php","","Warrenton","Virginia",NA,"","Farmers Market","Jun 30 2015 01:56:37:663PM","Mar  7 2016 09:44:29:000AM","500 Hospital Drive Warrenton Virginia 20186"
4915188,"Warrenton Wednesday Farmers Market","800 Waterloo Road","","Warrenton","Fauquier","Virginia",20186,"540-347-2405","http://www.warrentonva.gov/visitors/local_attractions/index.php","","Warrenton","Virginia",NA,"Planning@warrentonva.gov","Farmers Market","Mar 10 2019 04:24:15:450AM","Mar 10 2019 04:24:15:450AM","800 Waterloo Road Warrenton Virginia 20186"
4915544,"Wellness Connection Farmers Market","24440 Stone Springs Blvd","","Dulles","Loudoun","Virginia",20166,"7033270335","https://www.wellnessconnectionllc.com/farmers-market/","","Dulles","Virginia",NA,"marketmgr@wellnessconnectionllc.com","Farmers Market","Mar 10 2019 04:33:17:253AM","Mar 10 2019 04:33:17:253AM","24440 Stone Springs Blvd Dulles Virginia 20166"
4913424,"Westover Farmers Market","1644 N. McKinley Road","","Arlington","Arlington","Virginia",22205,"7034058232","","","Arlington","Virginia",NA,"","Farmers Market","Mar 24 2017 08:32:39:897PM","Mar 24 2017 08:32:40:000AM","1644 N. McKinley Road Arlington Virginia 22205"
419910,"Archwood Green Barns Farmers Market","4557 Old Tavern Rd, The Plains, VA 20198","P.O. Box 269","The Plains","Fauquier","Virginia",20198,"5402535289","","","The Plains","Virginia",NA,"","Farmers Market","Mar 27 2009 01:47:21:813PM","May 24 2010 08:32:09:000AM","4557 Old Tavern Rd, The Plains, VA 20198"
4913423,"Field to Table, Inc.; Fairlington Farmers Market","3308 S Stafford St, Arlington, VA 22206","P. O. Box 5948","Arlington","Arlington","Virginia",22205,"7034058232","","","Arlington","Virginia",NA,"robswennesFTT@outlook.com","Farmers Market","Mar 24 2017 08:21:01:730PM","Mar 24 2017 08:21:02:000AM","3308 S Stafford St, Arlington, VA 22206"
4915189,"Warrenton Saturday Farmers Market","S 5th St & E Lee St, Warrenton, VA 20186","PO Drawer 341","Warrenton","Fauquier","Virginia",20188,"5403472405","www.warrentonva.gov/visitors/local_attractions/index.php","","Warrenton","Virginia",NA,"emelson@warrentonva.gov","Farmers Market","Mar 10 2019 04:24:17:170AM","Apr 23 2019 03:31:51:000PM","96 E Lee St Warrenton, VA 20186"
4913423,"Field to Table, Inc.; Marymount Farmers Market","2807 N Glebe Rd, Arlington, VA 22207","P. O. Box 5948","Arlington","Arlington","Virginia",22205,"7034058232","","","Arlington","Virginia",NA,"robswennesFTT@outlook.com","Farmers Market","Mar 24 2017 08:21:01:730PM","Mar 24 2017 08:21:02:000AM","2807 N Glebe Rd, Arlington, VA 22207"
